ID,PREFERREDLABEL_EN,PREFERREDLABEL_SW,PREFERREDLABEL_BACK_EN,DESCRIPTION_EN,DESCRIPTION_SW,DESCRIPTION_BACK_EN
687671c1ebd2bf665349e6b9,abrasive blasting operator,mwendeshaji wa usafishaji kwa mchanga,Sandblasting operator,"Abrasive blasting operators use the proper equipment and machinery to smoothen rough surfaces by abrasive blasting. Abrasive blasting is commonly used in the finishing process of metal workpieces and for blasting building materials used in masonry such as bricks, stones and concrete. They operate blasters or sand cabinets which forcibly thrust a stream of abrasive material such sand, soda or water, under high pressure, propelled by a centrifigal wheel, in order to shape and smoothen surfaces.","Waendeshaji wa usafishaji kwa mchanga hutumia vifaa na mashine zinazofaa ili kulainisha nyuso zenye ukwaru kwa usafishaji wa kukwaruza. Usafishaji kwa mchanga hutumiwa kwa kawaida katika mchakato wa kumalizia vipande vya chuma na kwa kusafisha vifaa vya ujenzi vinavyotumiwa katika uashi kama vile matofali, mawe na zege. Wanatunza mashine za kupuliza au kabati za mchanga ambazo hurusha kwa nguvu mkondo wa nyenzo za kukwaruza kama mchanga, soda au maji, chini ya shinikizo la juu, ikisukumwa na gurudumu la sentrifigali, ili kuunda na kulainisha nyuso.","Sandblasting operators use appropriate tools and machines to smooth rough surfaces by abrasive blasting. Sandblasting is commonly used in the process of finishing metal parts and for cleaning building materials used in masonry such as bricks, stones, and concrete. They maintain blasting machines or sand cabinets that forcefully propel a stream of abrasive material such as sand, soda, or water, under high pressure, propelled by a centrifugal wheel, to create and smooth surfaces."
687671c1ebd2bf665349de63,precision engineer,mhandisi wa usahihi,Precision engineer,"Precision engineers design processes, machines, fixtures and other equipment that have exceptionally low engineering tolerances, are repeatable and stable over time. They ensure prototypes are built and tested and make sure the designs meet system specifications and operational requirements.","Wahandisi wa usahihi hubuni michakato, mashine, vifaa vya kurekebishia na vifaa vingine ambavyo vina uvumilivu wa chini sana wa uhandisi, vinavyoweza kurudiwa na thabiti kwa muda mrefu. Wanahakikisha mifano ya awali inajengwa na kufanyiwa majaribio na kuhakikisha miundo inakidhi vipimo vya mfumo na mahitaji ya uendeshaji.","Precision engineers design processes, machines, fixtures, and other equipment that have very low engineering tolerances, are repeatable, and stable over time. They ensure that prototypes are built and tested and that designs meet system specifications and operational requirements."
687671c0ebd2bf665349dcf2,leather production manager,Meneja wa uzalishaji wa ngozi,Leather production manager,Leather production managers plan all aspects of the leather production process. They ensure the required output of the factory in terms of quality and quantity of the leather. They organise the production staff. They monitor and ensure the operation of machinery and equipment. They cooperate with managers of each production department.,Mameneja wa uzalishaji wa ngozi hupanga nyanja zote za mchakato wa uzalishaji wa ngozi. Wanahakikisha matokeo yanayohitajika ya kiwanda kulingana na ubora na wingi wa ngozi. Wanapanga wafanyakazi wa uzalishaji. Wanafuatilia na kuhakikisha uendeshaji wa mitambo na vifaa. Wanashirikiana na mameneja wa kila idara ya uzalishaji.,Leather production managers plan all aspects of the leather production process. They ensure the desired factory output in terms of quality and quantity of leather. They organize production staff. They monitor and ensure the operation of machinery and equipment. They collaborate with managers of each production department.
687671c1ebd2bf665349e84b,washing or fixing clothes,Mfuliaji au mkarabati wa nguo,Launderer or clothes repairer,"Refers to caring and maintaining of textiles and footwear for own household and family members.

Examples:
- Hung out laundry
- Put clothes in the dryer machine
- Loaded clothes dryer
- Hand washing, loading and unloading washing machine, sorting wash
- Hand-washing, soaking, rinsing
- Sorting of laundry
- Ironing and pressing
- Tasks connected with ironing and pressing
- Folding and putting things away
- Put laundry in closet/drawer
- Sorting/folding clothes
- Ironed shirt
- Folding sheets and putting them into the cupboard
- Emptied the drying rack
- Mending, repairing clothing and shoes
- Mending, repairing other textiles such as bedsheets, table cloths, curtains, etc.
- Polishing footwear
- Repairing clothes
- Repairing and polishing shoes
- Putting seasonal clothes into storage
- Unspecified making and care for textiles
- Alteration of clothes (including ironing on transfers to t-shirts, dyeing clothing)
- Changed a zipper
- Cleaned boots","Inahusu utunzaji na ukarabati wa nguo na viatu kwa ajili ya kaya nyingine na watu wasio wanafamilia.

Mifano:
- Alitundika dobi ya mtu mwingine
- Aliweka nguo kwenye mashine ya kukaushia kwa ajili ya mtu mwingine
- Alijaza mashine ya kukaushia nguo katika kaya nyingine
- Kufua kwa mikono, kujaza na kupakua mashine ya kufua, kupanga dobi kwa ajili ya watu wasio wanafamilia
- Kufua kwa mikono, kuloweka, kusafisha nguo kwa ajili ya wengine
- Kupanga dobi kwa ajili ya kaya nyingine
- Kupiga pasi na kunyoosha mavazi kwa ajili ya mtu mwingine
- Kazi zinazohusiana na kupiga pasi na kunyoosha nguo kwa ajili ya watu wasio wanafamilia
- Kukunja na kuweka vitu mahali pake katika nyumba ya mtu mwingine
- Aliweka dobi kwenye kabati/droo katika kaya nyingine
- Kupanga/kukunja nguo kwa ajili ya rafiki
- Alipiga pasi shati kwa ajili ya mtu mwingine
- Kukunja shuka na kuziweka kwenye kabati kwa ajili ya wengine
- Alipakua kichanja cha kukaushia katika nyumba ya mtu mwingine
- Kushona, kukarabati mavazi na viatu kwa ajili ya wengine
- Kushona, kukarabati nguo nyingine kama vile shuka, vitambaa vya meza, mapazia, n.k., kwa ajili ya watu wasio wanafamilia
- Kupiga rangi viatu kwa ajili ya mtu mwingine
- Kukarabati nguo kwa ajili ya rafiki
- Kukarabati na kupiga rangi viatu kwa ajili ya wengine
- Kuweka nguo za msimu ghalani kwa ajili ya mtu mwingine
- Utengenezaji na utunzaji wa nguo usioainishwa kwa ajili ya watu wasio wanafamilia
- Marekebisho ya nguo (ikiwa ni pamoja na kupiga pasi picha kwenye t-shati, kupaka rangi nguo) kwa ajili ya wengine
- Alibadilisha zipu kwenye nguo ya mtu mwingine
- Alisafisha buti kwa ajili ya mtu asiye mwanafamilia","Refers to the care and repair of clothes and shoes for other households and non-family members.

Examples:
- Hung up someone else's laundry
- Put clothes in the dryer for someone else
- Loaded the dryer in another household
- Hand washing, loading and unloading the washing machine, sorting laundry for non-family members
- Hand washing, soaking, cleaning clothes for others
- Sorting laundry for another household
- Ironing and pressing garments for someone else
- Tasks related to ironing and pressing clothes for non-family members
- Folding and putting away items in someone else's house
- Put laundry in the cupboard/drawer in another household
- Sorting/folding clothes for a friend
- Ironed a shirt for someone else
- Folding sheets and putting them in the cupboard for others
- Unloaded the drying rack in someone else's house
- Sewing, repairing garments and shoes for others
- Sewing, repairing other clothes such as sheets, tablecloths, curtains, etc., for non-family members
- Polishing shoes for someone else
- Repairing clothes for a friend
- Repairing and polishing shoes for others
- Storing seasonal clothes in the closet for someone else
- Unspecified garment making and care for non-family members
- Clothing alterations (including ironing pictures onto t-shirts, painting clothes) for others
- Changed a zipper on someone else's garment
- Cleaned boots for a non-family member"
687671c1ebd2bf665349e0f2,copy editor,mhariri wa nakala,Copy editor,"Copy editors ascertain that a text is agreeable to read. They ensure that a text adheres to the conventions of grammar and spelling. Copy editors read and revise materials for books, journals, magazines and other media.","Wahariri wa nakala huhakikisha kuwa maandishi yanavutia kusoma. Wanahakikisha kuwa maandishi yanazingatia kanuni za sarufi na tahajia. Wahariri wa nakala husoma na kurekebisha nyenzo za vitabu, majarida na vyombo vingine vya habari.","Copy editors ensure that texts are engaging to read. They ensure that texts adhere to grammar and spelling rules. Copy editors read and revise materials for books, magazines, and other media."
687671c1ebd2bf665349e077,digital forensics expert,mtaalamu wa uchunguzi wa kidijitali,Digital forensics specialist,"Digital forensics experts retrieve and analyse information from computers and other types of data storage devices. They examine digital media that may have been hidden, encrypted or damaged, in a forensic manner with the aim to identify, preserve, recover, analyse and present facts and opinions about the digital information.","Wataalamu wa uchunguzi wa kidijitali hurejesha na kuchambua habari kutoka kwa kompyuta na aina nyingine za vifaa vya kuhifadhi data. Wanachunguza vyombo vya habari vya kidijitali ambavyo vinaweza kuwa vimefichwa, kusimbwa au kuharibiwa, kwa njia ya kiuchunguzi kwa lengo la kutambua, kuhifadhi, kurejesha, kuchambua na kuwasilisha ukweli na maoni kuhusu habari za kidijitali.","Digital forensics specialists recover and analyze information from computers and other types of data storage devices. They forensically examine digital media that may have been hidden, encrypted, or damaged, with the aim of identifying, preserving, recovering, analyzing, and presenting facts and opinions about digital information."
687671c1ebd2bf665349e01e,activism officer,afisa wa harakati,Campaign officer,"Activism officers promote or hinder social, political, economic or environmental change by using different tactics such as persuasive research, media pressure or public campaigning.","Maafisa wa harakati huchochea au huzuia mabadiliko ya kijamii, kisiasa, kiuchumi au kimazingira kwa kutumia mbinu tofauti kama vile utafiti wa kushawishi, shinikizo la vyombo vya habari au kampeni za umma.","Campaign officers stimulate or prevent social, political, economic, or environmental changes using different methods such as lobbying research, media pressure, or public campaigns."
687671c1ebd2bf665349deb8,power distribution engineer,mhandisi wa usambazaji wa umeme,Power distribution engineer,"Power distribution engineers design and operate facilities which distribute power from the distribution facility to the consumers. They research methods for the optimisation of power distribution, and ensure the consumers' needs are met. They also ensure compliance to safety regulations by monitoring the automated processes in plants and directing workflow.","Wahandisi wa usambazaji wa umeme hubuni na kuendesha vituo vinavyosambaza umeme kutoka kituo cha usambazaji hadi kwa walaji. Wanatafiti mbinu za kuboresha usambazaji wa umeme, na kuhakikisha mahitaji ya walaji yanatimizwa. Pia wanahakikisha uzingatiaji wa kanuni za usalama kwa kufuatilia michakato ya kiotomatiki katika mitambo na kuelekeza mtiririko wa kazi.",Power distribution engineers design and operate facilities that distribute electricity from the distribution station to consumers. They research methods to improve electricity distribution and ensure consumer needs are met. They also ensure compliance with safety regulations by monitoring automated processes in plants and directing workflow.
687671c1ebd2bf665349e863,assisting dependent adults with medical care,Msaidizi wa watu wazima tegemezi katika huduma za matibabu,Assistant for dependent adults in medical services,"Refers to the provision of medical/health care to dependent adults.

Examples:
– Prepared medicines for elderly mother","Inarejelea utoaji wa huduma za matibabu/afya kwa watu wazima tegemezi.

Mifano:
– Nilimwandalia dawa mama mzee","Refers to the provision of medical/health services to dependent adults.

Examples:
– I prepared medicine for an elderly mother"
687671c1ebd2bf665349de2f,groundwater monitoring technician,fundi ufuatiliaji wa maji ya ardhini,Groundwater monitoring technician,"Groundwater monitoring technician monitor the environment, gathering data in the form of samples and performing tests in a laboratory or field, to investigate potential sources of pollution. They also perform maintenance tasks on the monitoring equipment.","Mafundi ufuatiliaji wa maji ya ardhini hufuatilia mazingira, wakikusanya data kwa njia ya sampuli na kufanya vipimo katika maabara au nyanjani, ili kuchunguza vyanzo vinavyoweza kusababisha uchafuzi. Pia hufanya kazi za matengenezo kwenye vifaa vya ufuatiliaji.","Groundwater monitoring technicians monitor the environment, collecting data through sampling and conducting tests in the laboratory or in the field, to investigate potential sources of contamination. They also perform maintenance tasks on monitoring equipment."
