ID,ORIGINURI,PREFERREDLABEL_EN,PREFERREDLABEL_SW_gemini_2_5_flash,PREFERREDLABEL_SW_gemini_2_5_pro,PREFERREDLABEL_SW_gemini_3_pro,DESCRIPTION_EN,DESCRIPTION_SW_gemini_2_5_flash,DESCRIPTION_SW_gemini_2_5_pro,DESCRIPTION_SW_gemini_3_pro,ALTLABELS_SW_gemini_2_5_pro,ALTLABELS_SW_gemini_3_pro,ALTLABELS_SW_gemini_2_5_flash
687671c1ebd2bf665349e6b9,http://data.europa.eu/esco/occupation/3c0af499-39f6-4468-9ba4-b13a26d5f888,abrasive blasting operator,mwendeshaji wa usafishaji kwa mchanga,Mwendeshaji wa ulipuaji wa kukwaruza,,"Abrasive blasting operators use the proper equipment and machinery to smoothen rough surfaces by abrasive blasting. Abrasive blasting is commonly used in the finishing process of metal workpieces and for blasting building materials used in masonry such as bricks, stones and concrete. They operate blasters or sand cabinets which forcibly thrust a stream of abrasive material such sand, soda or water, under high pressure, propelled by a centrifigal wheel, in order to shape and smoothen surfaces.","Waendeshaji wa usafishaji kwa mchanga hutumia vifaa na mashine zinazofaa ili kulainisha nyuso zenye ukwaru kwa usafishaji wa kukwaruza. Usafishaji kwa mchanga hutumiwa kwa kawaida katika mchakato wa kumalizia vipande vya chuma na kwa kusafisha vifaa vya ujenzi vinavyotumiwa katika uashi kama vile matofali, mawe na zege. Wanatunza mashine za kupuliza au kabati za mchanga ambazo hurusha kwa nguvu mkondo wa nyenzo za kukwaruza kama mchanga, soda au maji, chini ya shinikizo la juu, ikisukumwa na gurudumu la sentrifigali, ili kuunda na kulainisha nyuso.","Waendeshaji wa ulipuaji wa kukwaruza hutumia vifaa na mashine zinazofaa kulainisha sehemu zenye ukwaru kwa kutumia ulipuaji wa kukwaruza. Ulipuaji wa kukwaruza hutumika sana katika mchakato wa umaliziaji wa vipande vya metali na kwa kulipua vifaa vya ujenzi vinavyotumika katika uashi kama vile matofali, mawe na zege. Wanaendesha vilipuaji au makabati ya mchanga ambayo husukuma kwa nguvu mkondo wa nyenzo za kukwaruza kama vile mchanga, soda au maji, chini ya shinikizo kubwa, zikisukumwa na gurudumu la sentrifugi, ili kuunda na kulainisha sehemu.",,"Mtengenezaji kwa Kukwaruza
Mlipuaji mchanga, sehemu za nje za majengo
Mlipuaji, maji: kusafisha
Opereta, mashine: ulipuaji wa risasi (metali)
Mpakaji nta, ulipuaji mchanga wa kioo
mlipuaji wa kukwaruza
opereta wa kabati la ulipuaji wa kukwaruza
opereta wa ulipuaji wa kukwaruza
mwendeshaji wa ulipuaji wa kukwaruza
mlipuaji mchanga wa kukwaruza
mlipuaji risasi wa kukwaruza
mlipuaji changarawe
opereta wa ulipuaji mchanga
mwendeshaji wa ulipuaji mchanga
mlipuaji mchanga
mwendeshaji wa ulipuaji mchanga
mlipuaji wa kinu cha mchanga
msagaji wa kinu cha mchanga
mlipuaji-mchanga
mlipuaji mchanga
msuguaji
opereta msuguaji
mwendeshaji msuguaji
mlipuaji risasi",,"Muunda Kikwaruzi
Msafishaji mchanga, nje ya majengo
Msafishaji, maji: kusafisha
Mwendeshaji, mashine: usafishaji kwa risasi (chuma)
Mpaka nta, usafishaji kioo kwa mchanga
msafishaji kwa mchanga
mfanyakazi wa kabati la usafishaji kwa mchanga
mfanyakazi wa usafishaji kwa mchanga
mwendeshaji wa usafishaji kwa mchanga
msafishaji kwa risasi
msafishaji kwa changarawe
mfanyakazi wa kupuliza mchanga
mwendeshaji wa kupuliza mchanga
msafishaji mchanga
mwendeshaji wa kusafisha kwa mchanga
msafishaji wa kinu cha mchanga
msagaji wa kinu cha mchanga
msafishaji-mchanga
msuguaji
mfanyakazi wa kusugua
mwendeshaji wa kusugua"
687671c1ebd2bf665349de63,http://data.europa.eu/esco/occupation/994fe880-dc26-4f0f-a3cd-500709b6a665,precision engineer,mhandisi wa usahihi,Mhandisi wa usahihi,,"Precision engineers design processes, machines, fixtures and other equipment that have exceptionally low engineering tolerances, are repeatable and stable over time. They ensure prototypes are built and tested and make sure the designs meet system specifications and operational requirements.","Wahandisi wa usahihi hubuni michakato, mashine, vifaa vya kurekebishia na vifaa vingine ambavyo vina uvumilivu wa chini sana wa uhandisi, vinavyoweza kurudiwa na thabiti kwa muda mrefu. Wanahakikisha mifano ya awali inajengwa na kufanyiwa majaribio na kuhakikisha miundo inakidhi vipimo vya mfumo na mahitaji ya uendeshaji.","Wahandisi wa usahihi hubuni michakato, mashine, vifaa vya kushikilia na vifaa vingine ambavyo vina viwango vya chini sana vya uvumilivu wa kihandisi, vinaweza kurudiwa na ni thabiti kwa muda. Wanahakikisha sampuli za awali zinajengwa na kujaribiwa na kuhakikisha miundo inakidhi vipimo vya mfumo na mahitaji ya uendeshaji.",,"Mshauri wa uhandisi wa usahihi
Wahandisi wa usahihi
Mshauri mwelekezi wa uhandisi wa usahihi
Mhandisi wa usahihi
Mtaalamu wa uhandisi wa usahihi
Mtaalamu maalum wa uhandisi wa usahihi",,"mshauri wa uhandisi wa usahihi
wahandisi wa usahihi
mhandisi wa usahihi
mtaalamu bingwa wa uhandisi wa usahihi
mtaalamu wa uhandisi wa usahihi"
687671c0ebd2bf665349dcf2,http://data.europa.eu/esco/occupation/316309e4-5fce-4dca-85d1-07702217ea19,leather production manager,Meneja wa uzalishaji wa ngozi,Meneja wa uzalishaji wa ngozi,,Leather production managers plan all aspects of the leather production process. They ensure the required output of the factory in terms of quality and quantity of the leather. They organise the production staff. They monitor and ensure the operation of machinery and equipment. They cooperate with managers of each production department.,Mameneja wa uzalishaji wa ngozi hupanga nyanja zote za mchakato wa uzalishaji wa ngozi. Wanahakikisha matokeo yanayohitajika ya kiwanda kulingana na ubora na wingi wa ngozi. Wanapanga wafanyakazi wa uzalishaji. Wanafuatilia na kuhakikisha uendeshaji wa mitambo na vifaa. Wanashirikiana na mameneja wa kila idara ya uzalishaji.,Mameneja wa uzalishaji wa ngozi hupanga nyanja zote za mchakato wa uzalishaji wa ngozi. Wanahakikisha kiwanda kinatoa matokeo yanayohitajika kwa kuzingatia ubora na wingi wa ngozi. Wanaandaa wafanyakazi wa uzalishaji. Wanasimamia na kuhakikisha uendeshaji wa mashine na vifaa. Wanashirikiana na mameneja wa kila idara ya uzalishaji.,,"Mkurugenzi wa uendeshaji wa ngozi
Mkurugenzi wa utengenezaji wa ngozi
Meneja wa uzalishaji wa ngozi
Mkurugenzi wa uzalishaji wa ngozi
Meneja wa usafirishaji wa ngozi
Mameneja wa uzalishaji wa ngozi",,"mkurugenzi wa shughuli za ngozi
mkurugenzi wa utengenezaji wa ngozi
meneja wa uzalishaji wa ngozi
mkurugenzi wa uzalishaji wa ngozi
meneja wa lojistiki ya ngozi
mameneja wa uzalishaji wa ngozi"
687671c1ebd2bf665349e84b,urn:icatus:2016:34,washing or fixing clothes,Mfuliaji au mkarabati wa nguo,Kufua au kurekebisha nguo,,"Refers to caring and maintaining of textiles and footwear for own household and family members.

Examples:
- Hung out laundry
- Put clothes in the dryer machine
- Loaded clothes dryer
- Hand washing, loading and unloading washing machine, sorting wash
- Hand-washing, soaking, rinsing
- Sorting of laundry
- Ironing and pressing
- Tasks connected with ironing and pressing
- Folding and putting things away
- Put laundry in closet/drawer
- Sorting/folding clothes
- Ironed shirt
- Folding sheets and putting them into the cupboard
- Emptied the drying rack
- Mending, repairing clothing and shoes
- Mending, repairing other textiles such as bedsheets, table cloths, curtains, etc.
- Polishing footwear
- Repairing clothes
- Repairing and polishing shoes
- Putting seasonal clothes into storage
- Unspecified making and care for textiles
- Alteration of clothes (including ironing on transfers to t-shirts, dyeing clothing)
- Changed a zipper
- Cleaned boots","Inahusu utunzaji na ukarabati wa nguo na viatu kwa ajili ya kaya nyingine na watu wasio wanafamilia.

Mifano:
- Alitundika dobi ya mtu mwingine
- Aliweka nguo kwenye mashine ya kukaushia kwa ajili ya mtu mwingine
- Alijaza mashine ya kukaushia nguo katika kaya nyingine
- Kufua kwa mikono, kujaza na kupakua mashine ya kufua, kupanga dobi kwa ajili ya watu wasio wanafamilia
- Kufua kwa mikono, kuloweka, kusafisha nguo kwa ajili ya wengine
- Kupanga dobi kwa ajili ya kaya nyingine
- Kupiga pasi na kunyoosha mavazi kwa ajili ya mtu mwingine
- Kazi zinazohusiana na kupiga pasi na kunyoosha nguo kwa ajili ya watu wasio wanafamilia
- Kukunja na kuweka vitu mahali pake katika nyumba ya mtu mwingine
- Aliweka dobi kwenye kabati/droo katika kaya nyingine
- Kupanga/kukunja nguo kwa ajili ya rafiki
- Alipiga pasi shati kwa ajili ya mtu mwingine
- Kukunja shuka na kuziweka kwenye kabati kwa ajili ya wengine
- Alipakua kichanja cha kukaushia katika nyumba ya mtu mwingine
- Kushona, kukarabati mavazi na viatu kwa ajili ya wengine
- Kushona, kukarabati nguo nyingine kama vile shuka, vitambaa vya meza, mapazia, n.k., kwa ajili ya watu wasio wanafamilia
- Kupiga rangi viatu kwa ajili ya mtu mwingine
- Kukarabati nguo kwa ajili ya rafiki
- Kukarabati na kupiga rangi viatu kwa ajili ya wengine
- Kuweka nguo za msimu ghalani kwa ajili ya mtu mwingine
- Utengenezaji na utunzaji wa nguo usioainishwa kwa ajili ya watu wasio wanafamilia
- Marekebisho ya nguo (ikiwa ni pamoja na kupiga pasi picha kwenye t-shati, kupaka rangi nguo) kwa ajili ya wengine
- Alibadilisha zipu kwenye nguo ya mtu mwingine
- Alisafisha buti kwa ajili ya mtu asiye mwanafamilia","Inarejelea utunzaji na matengenezo ya nguo na viatu kwa ajili ya kaya na wanafamilia.

Mifano:
- Alianika nguo
- Aliweka nguo kwenye mashine ya kukaushia
- Alijaza mashine ya kukaushia nguo
- Kufua kwa mkono, kupakia na kupakua mashine ya kufulia, kuchagua nguo za kufua
- Kufua kwa mkono, kuloweka, kusuuza
- Uteuzi wa nguo chafu
- Kupiga pasi na kunyoosha
- Kazi zinazohusiana na kupiga pasi na kunyoosha
- Kukunja na kuweka vitu mahali pake
- Aliweka nguo zilizokaushwa kwenye kabati/droo
- Kuchagua/kukunja nguo
- Alipiga pasi shati
- Alikunja mashuka na kuyaweka kabatini
- Alitoa nguo kwenye kianikio
- Kushona, kurekebisha nguo na viatu
- Kushona, kurekebisha nguo nyingine kama vile mashuka, vitambaa vya meza, mapazia, n.k.
- Kung'arisha viatu
- Kurekebisha nguo
- Kurekebisha na kung'arisha viatu
- Kuhifadhi nguo za msimu
- Utengenezaji na utunzaji usiobainishwa wa nguo
- Marekebisho ya nguo (pamoja na kupiga pasi picha kwenye fulana, kupaka nguo rangi)
- Alibadilisha zipu
- Alisafisha buti",,"Kufua au kurekebisha nguo
Kusafisha au kurekebisha nguo na viatu
Kukausha, kuanika, kuingiza nguo zilizokaushwa
Ukaushaji na ushughulikiaji wa nguo chafu
Kufua kwa mkono/mashine
Kufua nguo kwa mkono au mashine
Kupiga pasi, kunyoosha, kukunja
Kulainisha nguo zilizokaushwa
Kushona/kurekebisha na kutunza nguo na viatu, kusafisha na kung'arisha viatu
Utunzaji wa nguo na viatu
Urekebishaji na utunzaji wa nguo",,"mfuliaji au mkarabati wa nguo
msafishaji au mkarabati wa nguo na viatu
mkaushaji, mtundikaji, mpakuaji wa nguo zilizofuliwa
mkaushaji na mshughulikiaji wa dobi
mfuaji wa mikono/mashine
mfuaji wa nguo kwa mikono au mashine
mpigaji pasi, mnyooshaji, mkunjaji
mnyooshaji wa dobi
mshonaji/mkarabati na mtunzaji wa nguo na viatu, msafishaji na mpigaji rangi viatu
mtunzaji wa nguo na viatu
mkarabati na mtunzaji wa nguo"
687671c1ebd2bf665349e0f2,http://data.europa.eu/esco/occupation/8bd74371-1818-47d5-a253-d703c51c5f26,copy editor,mhariri wa nakala,Mhariri wa nakala,,"Copy editors ascertain that a text is agreeable to read. They ensure that a text adheres to the conventions of grammar and spelling. Copy editors read and revise materials for books, journals, magazines and other media.","Wahariri wa nakala huhakikisha kuwa maandishi yanavutia kusoma. Wanahakikisha kuwa maandishi yanazingatia kanuni za sarufi na tahajia. Wahariri wa nakala husoma na kurekebisha nyenzo za vitabu, majarida na vyombo vingine vya habari.","Wahariri wa nakala huhakikisha kuwa maandishi yanasomeka vizuri. Wanahakikisha kuwa maandishi yanafuata kanuni za sarufi na tahajia. Wahariri wa nakala husoma na kurekebisha maandishi kwa ajili ya vitabu, majarida, magazeti na vyombo vingine vya habari.",,"Mhariri wa lugha
Msaidizi wa uhariri
Mhariri-nakala
Mhariri mkuu wa nakala
Mhariri wa nakala",,"mhariri wa lugha
msaidizi wa uhariri
mhariri-nakala
mhariri mwandamizi wa nakala
mhariri wa nakala"
687671c1ebd2bf665349e077,http://data.europa.eu/esco/occupation/0c448a27-10ec-43ba-b880-d9938bade424,digital forensics expert,mtaalamu wa uchunguzi wa kidijitali,Mtaalamu wa Forensiki za Kidijitali,,"Digital forensics experts retrieve and analyse information from computers and other types of data storage devices. They examine digital media that may have been hidden, encrypted or damaged, in a forensic manner with the aim to identify, preserve, recover, analyse and present facts and opinions about the digital information.","Wataalamu wa uchunguzi wa kidijitali hurejesha na kuchambua habari kutoka kwa kompyuta na aina nyingine za vifaa vya kuhifadhi data. Wanachunguza vyombo vya habari vya kidijitali ambavyo vinaweza kuwa vimefichwa, kusimbwa au kuharibiwa, kwa njia ya kiuchunguzi kwa lengo la kutambua, kuhifadhi, kurejesha, kuchambua na kuwasilisha ukweli na maoni kuhusu habari za kidijitali.","Wataalamu wa forensiki za kidijitali hurejesha na kuchambua taarifa kutoka kwa kompyuta na aina nyingine za vifaa vya kuhifadhi data. Wao huchunguza midia ya kidijitali ambayo inaweza kuwa imefichwa, imesimbwa kwa njia fiche au kuharibiwa, kwa njia ya kitaalamu ya uchunguzi kwa lengo la kutambua, kuhifadhi, kurejesha, kuchambua na kuwasilisha ukweli na maoni kuhusu taarifa za kidijitali.",,"Mtaalamu wa Forensiki za TEHAMA
Mtaalamu wa Forensiki za Taarifa
Mtaalamu wa Forensiki za Kompyuta
Mchunguzi wa Forensiki za Kompyuta
Mchambuzi wa Forensiki za Kidijitali
Mtaalamu wa Forensiki za Kidijitali
Mtaalamu wa Forensiki za Mtandaoni
Mtaalamu Maalumu wa Forensiki za Kidijitali
Mchambuzi wa Usalama wa Mtandaoni
Mtaalamu wa Forensiki za Kidijitali
Wataalamu wa Forensiki za Kidijitali",,"mtaalamu wa uchunguzi wa ICT
mtaalamu wa uchunguzi wa habari
mtaalamu wa uchunguzi wa kompyuta
mchunguzi wa uchunguzi wa kompyuta
mchambuzi wa uchunguzi wa kidijitali
mtaalamu wa uchunguzi wa kidijitali
mtaalamu wa uchunguzi wa mtandao
mchambuzi wa usalama wa mtandao
wataalamu wa uchunguzi wa kidijitali"
687671c1ebd2bf665349e01e,http://data.europa.eu/esco/occupation/98358049-fbcd-479e-a644-e92bde5af2e0,activism officer,afisa wa harakati,Afisa Uanaharakati,,"Activism officers promote or hinder social, political, economic or environmental change by using different tactics such as persuasive research, media pressure or public campaigning.","Maafisa wa harakati huchochea au huzuia mabadiliko ya kijamii, kisiasa, kiuchumi au kimazingira kwa kutumia mbinu tofauti kama vile utafiti wa kushawishi, shinikizo la vyombo vya habari au kampeni za umma.","Maafisa uanaharakati huendeleza au kuzuia mabadiliko ya kijamii, kisiasa, kiuchumi au kimazingira kwa kutumia mbinu tofauti kama vile utafiti wenye ushawishi, shinikizo la vyombo vya habari au kampeni za umma.",,"Afisa Uanaharakati na Matukio
Afisa Uanaharakati
Afisa Uanaharakati na Ushirikishwaji
Mfanyakazi wa Kampeni
Mwanaharakati
Afisa wa Misaada
Afisa Uanaharakati na Ushirikishwaji
Mwanakampeni
Afisa Uanaharakati na Matukio
Mratibu wa Uanaharakati
Afisa wa Matukio",,"afisa wa harakati na matukio
afisa wa harakati
afisa wa harakati na ushirikishwaji
mfanyakazi wa kampeni
mwanaharakati
afisa wa shirika la hisani
mwanakampeni
mratibu wa harakati
afisa wa matukio"
687671c1ebd2bf665349deb8,http://data.europa.eu/esco/occupation/ac37627c-a999-4779-997e-9795cc4f9a3d,power distribution engineer,mhandisi wa usambazaji wa umeme,Mhandisi wa Usambazaji Umeme,,"Power distribution engineers design and operate facilities which distribute power from the distribution facility to the consumers. They research methods for the optimisation of power distribution, and ensure the consumers' needs are met. They also ensure compliance to safety regulations by monitoring the automated processes in plants and directing workflow.","Wahandisi wa usambazaji wa umeme hubuni na kuendesha vituo vinavyosambaza umeme kutoka kituo cha usambazaji hadi kwa walaji. Wanatafiti mbinu za kuboresha usambazaji wa umeme, na kuhakikisha mahitaji ya walaji yanatimizwa. Pia wanahakikisha uzingatiaji wa kanuni za usalama kwa kufuatilia michakato ya kiotomatiki katika mitambo na kuelekeza mtiririko wa kazi.","Wahandisi wa usambazaji umeme hubuni na kuendesha mitambo inayosambaza umeme kutoka kituo cha usambazaji hadi kwa wateja. Wao hutafiti mbinu za kuboresha usambazaji wa umeme, na kuhakikisha mahitaji ya wateja yanatimizwa. Pia huhakikisha uzingatiaji wa kanuni za usalama kwa kufuatilia michakato ya kiotomatiki katika mitambo na kuelekeza mtiririko wa kazi.",,"Mtaalamu Maalumu wa Uhandisi wa Teknolojia ya Usambazaji Umeme
Mtaalamu wa Uhandisi wa Usambazaji Umeme
Mshauri wa Uhandisi wa Usambazaji Umeme
Mhandisi wa Usambazaji Umeme
Mtaalamu Maalumu wa Uhandisi wa Usambazaji Umeme
Mshauri Mwelekezi wa Uhandisi wa Teknolojia ya Usambazaji Umeme
Mhandisi wa Mifumo ya Usambazaji Umeme
Mhandisi wa Mfumo wa Usambazaji Umeme
Mshauri wa Uhandisi wa Teknolojia ya Usambazaji Umeme
Mtaalamu wa Uhandisi wa Teknolojia ya Usambazaji Umeme
Mhandisi wa Teknolojia ya Usambazaji Umeme
Mhandisi wa Usambazaji Umeme
Mshauri Mwelekezi wa Uhandisi wa Usambazaji Umeme",,"mtaalamu wa uhandisi wa teknolojia ya usambazaji wa umeme
mtaalamu mshauri wa uhandisi wa usambazaji wa umeme
mshauri wa uhandisi wa usambazaji wa umeme
mhandisi wa usambazaji wa umeme
mtaalamu wa uhandisi wa usambazaji wa umeme
mshauri wa uhandisi wa teknolojia ya usambazaji wa umeme
mhandisi wa mifumo ya usambazaji wa umeme
mhandisi wa mfumo wa usambazaji wa umeme
mhandisi wa teknolojia ya usambazaji wa umeme
wahandisi wa usambazaji wa umeme"
687671c1ebd2bf665349e863,urn:icatus:2016:422,assisting dependent adults with medical care,Msaidizi wa watu wazima tegemezi katika huduma za matibabu,Kusaidia watu wazima tegemezi kwa huduma za matibabu,,"Refers to the provision of medical/health care to dependent adults.

Examples:
– Prepared medicines for elderly mother","Inarejelea utoaji wa huduma za matibabu/afya kwa watu wazima tegemezi.

Mifano:
– Nilimwandalia dawa mama mzee","Inarejelea utoaji wa huduma za matibabu/afya kwa watu wazima tegemezi.

Mifano:
– Kuandaa dawa kwa ajili ya mama mzee",,"Kusaidia watu wazima tegemezi kwa huduma za matibabu
Kusaidia watu wazima tegemezi katika huduma za afya
Kusaidia watu wazima tegemezi wenye mahitaji ya kimatibabu",,"Msaidizi wa watu wazima tegemezi katika huduma za matibabu
kusaidia watu wazima tegemezi katika huduma ya afya
kusaidia watu wazima tegemezi wenye mahitaji ya matibabu"
687671c1ebd2bf665349de2f,http://data.europa.eu/esco/occupation/7af81505-6681-49b5-b65e-401884a71f1f,groundwater monitoring technician,fundi ufuatiliaji wa maji ya ardhini,Fundi Sanifu wa Ufuatiliaji wa Maji ya Ardhini,,"Groundwater monitoring technician monitor the environment, gathering data in the form of samples and performing tests in a laboratory or field, to investigate potential sources of pollution. They also perform maintenance tasks on the monitoring equipment.","Mafundi ufuatiliaji wa maji ya ardhini hufuatilia mazingira, wakikusanya data kwa njia ya sampuli na kufanya vipimo katika maabara au nyanjani, ili kuchunguza vyanzo vinavyoweza kusababisha uchafuzi. Pia hufanya kazi za matengenezo kwenye vifaa vya ufuatiliaji.","Mafundi sanifu wa ufuatiliaji wa maji ya ardhini hufuatilia mazingira, wakikusanya data kwa njia ya sampuli na kufanya majaribio katika maabara au eneo la kazi, ili kuchunguza vyanzo vinavyoweza kusababisha uchafuzi. Pia hufanya kazi za matengenezo kwenye vifaa vya ufuatiliaji.",,"Fundi Sanifu wa Ulinzi wa Maji ya Ardhini
Fundi Sanifu wa Maji ya Ardhini
Fundi Sanifu wa Ukusanyaji Sampuli za Maji ya Ardhini
Fundi Sanifu wa Ulinzi wa Mazingira
Fundi Sanifu wa Mfumo wa Ufuatiliaji wa Maji ya Ardhini
Fundi Sanifu wa Maabara ya Maji ya Ardhini
Fundi Sanifu wa Ufuatiliaji wa Maji ya Ardhini
Fundi Sanifu wa Uhifadhi wa Mazingira",,"fundi ulinzi wa maji ya ardhini
fundi wa maji ya ardhini
fundi uchukuaji sampuli za maji ya ardhini
fundi ulinzi wa mazingira
fundi wa mfumo wa ufuatiliaji wa maji ya ardhini
fundi maabara ya maji ya ardhini
fundi ufuatiliaji wa maji ya ardhini
fundi uhifadhi wa mazingira"
