ISCO4,ISCO4_LABEL,SKILLID,SKILL_LABEL,SKILL_TYPE,RELEVANCE,REASONING,ADAPTATION
9510,Street and related service workers,687671b5ebd2bf665349a910,geographic areas,knowledge,High,"Navigating high-traffic zones like matatu stages, markets, and CBD intersections is critical for maximizing reach in a street-based service economy.",N/A
9510,Street and related service workers,687671b5ebd2bf665349a92c,work in outdoor conditions,skill/competence,High,"Street work in Kenya involves constant exposure to equatorial sun, dust, and seasonal heavy rains, making physical resilience a core productivity factor.",N/A
9510,Street and related service workers,687671b5ebd2bf665349aab2,characteristics of products,knowledge,Moderate,"Workers are often expected to act as informal brand ambassadors; however, deep technical knowledge is secondary to basic utility and price points.",Knowledge is typically acquired through verbal briefings or WhatsApp group updates rather than formal product manuals.
9510,Street and related service workers,687671b5ebd2bf665349b080,hang advertising posters,skill/competence,High,"Physical poster placement on walls, kiosks, and utility poles remains a dominant form of local marketing for SMEs and political campaigns.",N/A
9510,Street and related service workers,687671b5ebd2bf665349b2e5,set up advertising material,skill/competence,Moderate,"While formal urban furniture exists, most street advertising involves temporary setups like roll-up banners or placards at busy roundabouts.",Focuses on the rapid setup and teardown of mobile banners and placards at temporary high-traffic locations.
9510,Street and related service workers,687671b5ebd2bf665349b610,demonstrate professional attitude to clients,skill/competence,High,"In a crowded informal market, interpersonal trust and 'customer care' are essential for securing repeat business and avoiding harassment from authorities.",N/A
9510,Street and related service workers,687671b5ebd2bf665349b860,follow written instructions,skill/competence,Moderate,"Basic literacy is high, but the workflow is rarely governed by formal manuals; instructions are usually dynamic and task-oriented.","Instructions are primarily received and followed via WhatsApp messages, voice notes, or SMS rather than printed documents."
9510,Street and related service workers,687671b9ebd2bf665349b9f4,deliver leaflets,skill/competence,Moderate,The lack of a standardized residential mailbox system in many areas makes traditional 'mailbox' delivery less common than direct hand-to-hand distribution.,"Leaflets are distributed hand-to-hand in traffic, at bus stops, or slipped under shop doors in commercial hubs."
9510,Street and related service workers,687671b9ebd2bf665349c015,liaise with advertising agencies,skill/competence,Low,"Street workers are typically hired through informal networks or small-scale supervisors, rarely interacting with high-level agency structures.",N/A
9510,Street and related service workers,687671baebd2bf665349c5b5,hand out flyers,skill/competence,High,"This is a primary entry-level role in the urban informal sector, particularly for promoting retail offers, religious events, or educational services.",N/A
9510,Street and related service workers,687671baebd2bf665349c6c6,operate GPS systems,skill/competence,Moderate,"Specialized GPS hardware is rare; however, the use of Google Maps on smartphones is increasingly common for navigating unfamiliar estates.",Utilizing Google Maps or WhatsApp 'Live Location' features on a standard smartphone.
9510,Street and related service workers,687671bdebd2bf665349d543,demonstrate products' features,skill/competence,High,"Street workers often perform hybrid roles where they must explain the value of a product (e.g., a solar lamp or a mobile app) to convert a passer-by into a lead.",N/A
