"informal work in eng","Profession in Amharic","professional/ formal","sector","sub sector","nel_model_label","n_matches","best_score","best_confidence","m1_label","m1_uri","m1_score","m1_confidence","m2_label","m2_uri","m2_score","m2_confidence","m3_label","m3_uri","m3_score","m3_confidence","m4_label","m4_uri","m4_score","m4_confidence","m5_label","m5_uri","m5_score","m5_confidence"
"Digital Media Marketer","ዲጂታል ሚዲያ ገበያተኛ","P","Service","Advertising","minilm","5","0.8877","high_confidence","advertising media buyer","http://data.europa.eu/esco/occupation/4795d4e3-c623-47ff-abab-7de97fcb764e","0.8877","high_confidence","digital media designer","http://data.europa.eu/esco/occupation/d5a43cd3-230e-46d0-ba05-d67d61e5cfbb","0.8654","high_confidence","digital marketing manager","http://data.europa.eu/esco/occupation/dc97adbe-f807-4ad8-8f3c-c24b3416cdef","0.8638","high_confidence","online marketer","http://data.europa.eu/esco/occupation/356227b9-2263-4dbd-81e9-7dfc6d3f3af7","0.8483","low_similarity","media scientist","http://data.europa.eu/esco/occupation/19db5ad1-ffbf-41a0-8746-d3878f0d5dbd","0.8185","low_similarity"
"Market Strategist","ገበያ ስትራቴጂስት","P","Service","Business Promotion Service","minilm","5","0.8343","low_similarity","market research analyst","http://data.europa.eu/esco/occupation/66fb9704-0d56-4673-8e69-7823816b73e1","0.8343","low_similarity","market vendor","http://data.europa.eu/esco/occupation/c822ca35-6c36-4eab-97fa-90f2775091c3","0.8261","low_similarity","online marketer","http://data.europa.eu/esco/occupation/356227b9-2263-4dbd-81e9-7dfc6d3f3af7","0.7930","low_similarity","market research interviewer","http://data.europa.eu/esco/occupation/7843a4c6-a9f6-4095-94b9-45b384d4bd57","0.7908","low_similarity","marketing consultant","http://data.europa.eu/esco/occupation/4791e217-d607-40d5-9f84-df1d0a071cbc","0.7875","low_similarity"
"Junior Risk Officer","ጁኒየር አደጋ መኮንን","P","Service","Other services","minilm","5","0.8384","low_similarity","health and safety officer","http://data.europa.eu/esco/occupation/789517fb-95ee-43d1-9530-c2860be1a439","0.8384","low_similarity","aviation safety officer","http://data.europa.eu/esco/occupation/c8ee6499-7613-4c02-9edf-2a0edcf47705","0.8134","low_similarity","policy officer","http://data.europa.eu/esco/occupation/caf7b8fb-b2d6-46b7-bffa-bea7f8e4aed8","0.8052","low_similarity","juvenile correctional officer","http://data.europa.eu/esco/occupation/6e36bf67-9df2-4d68-8f78-fca1d34acc0b","0.8048","low_similarity","special forces officer","http://data.europa.eu/esco/occupation/1de91afd-9da2-47ab-a7e7-19bf931709a4","0.8042","low_similarity"
"Senior Customer Service Officer","ከፍተኛ የደንበኞች አገልግሎት ኦፊሰር","P","Service","Other services","minilm","5","0.8679","high_confidence","customer service representative","http://data.europa.eu/esco/occupation/13d1b2b4-99dd-44da-9734-c9f74bae18f7","0.8679","high_confidence","civil service administrative officer","http://data.europa.eu/esco/occupation/ffade2f4-2528-4dfd-b36a-6e4092be08ed","0.8241","low_similarity","chief marketing officer","http://data.europa.eu/esco/occupation/0ddbf393-38f1-4c22-b14c-fe775008f321","0.8197","low_similarity","customer experience manager","http://data.europa.eu/esco/occupation/9c9752b7-3e3b-4a08-8553-b63a013f8072","0.8170","low_similarity","police officer","http://data.europa.eu/esco/occupation/5793c124-c037-47b2-85b6-dd4a705968dc","0.8119","low_similarity"
"Waiteress/waiter","አስተናጋጅ","P","Tourism and art","Resturant,Coffee shop","minilm","5","0.9566","exact","waiter/waitress","http://data.europa.eu/esco/occupation/d5db9d5c-2ebf-4a54-a79a-1b7e7ff70471","0.9566","exact","head waiter/head waitress","http://data.europa.eu/esco/occupation/53ed8787-3423-4843-8c63-7be1877d29e2","0.9002","high_confidence","restaurant host/restaurant hostess","http://data.europa.eu/esco/occupation/a1b86a8b-ad91-4192-b386-bbf89bb11699","0.8276","low_similarity","restaurant manager","http://data.europa.eu/esco/occupation/d5eb6150-bbff-4a9c-9d0c-21eab4dbe2b6","0.8253","low_similarity","quick service restaurant crew member","http://data.europa.eu/esco/occupation/96a0d8d3-d4a6-473d-80d6-b5dbadde940a","0.7910","low_similarity"
"Commerce Expert","የንግድ ባለሙያ","P","Business","Other unspecified food products retail","minilm","5","0.8226","low_similarity","wholesale merchant","http://data.europa.eu/esco/occupation/3ac7fbb4-91b2-4d4d-abc8-7a6c55ed648f","0.8226","low_similarity","specialised seller","http://data.europa.eu/esco/occupation/547b304b-9a72-4717-9b24-b7046df5f64e","0.8053","low_similarity","wholesale merchant in perfume and cosmetics","http://data.europa.eu/esco/occupation/0a7b874b-e5c0-4dea-8b88-dadba9efee1d","0.8032","low_similarity","wholesale merchant in chemical products","http://data.europa.eu/esco/occupation/c7ffc270-7bd2-4bb1-a51a-4766170d7935","0.8027","low_similarity","wholesale merchant in beverages","http://data.europa.eu/esco/occupation/e0904e3f-d3e7-4313-8ff9-3facf9fce70d","0.8014","low_similarity"
"Secretary Cashier","ጸሐፊ ገንዘብ ተቀባይ","P","Service","Finance and Administration Services","minilm","5","0.9178","high_confidence","cashier","http://data.europa.eu/esco/occupation/2b871272-bd61-4206-bd1a-0b96d7023098","0.9178","high_confidence","secretary","http://data.europa.eu/esco/occupation/5ac377d2-e1d0-4911-a299-b4ef2782a0ba","0.8379","low_similarity","casino cashier","http://data.europa.eu/esco/occupation/961cbd1f-2a9b-4756-b227-67a1c23c94b6","0.8350","low_similarity","foreign exchange cashier","http://data.europa.eu/esco/occupation/b7fc1cd1-0d6d-4e9e-8a9f-c3270201be81","0.8332","low_similarity","lottery cashier","http://data.europa.eu/esco/occupation/3f32394b-f1b1-48ef-96ee-74405fb7c6b6","0.8312","low_similarity"
"Senior District Auditor","ሲኒየር ዲስትሪክት ኦዲተር","P","Service","Accounting audit and adminstrative works","minilm","5","0.8216","low_similarity","financial auditor","http://data.europa.eu/esco/occupation/1ad59946-d13e-441e-9b36-56e1df055e21","0.8216","low_similarity","auditing clerk","http://data.europa.eu/esco/occupation/1f665529-96e9-46c1-99f4-9ffbf9ffa036","0.7911","low_similarity","tax inspector","http://data.europa.eu/esco/occupation/c766198e-5b9c-4c85-9fef-be27c783ab19","0.7882","low_similarity","night auditor","http://data.europa.eu/esco/occupation/6e6e44ba-d9f0-403b-93d4-a8d4bd67787a","0.7777","low_similarity","ICT auditor manager","http://data.europa.eu/esco/occupation/76a1a76c-b014-4600-8901-56cb936de7ed","0.7751","low_similarity"
"Sales Representative","የሽያጭ ተወካይ","P","Business","Other unspecified food products retail","minilm","5","0.9340","high_confidence","commercial sales representative","http://data.europa.eu/esco/occupation/14031d4a-6e99-442f-b4fe-18262b6432b2","0.9340","high_confidence","technical sales representative","http://data.europa.eu/esco/occupation/c956be07-53a3-4b01-b8f8-f0c5a428eaa8","0.9252","high_confidence","medical sales representative","http://data.europa.eu/esco/occupation/ab762f91-d737-485f-a85c-67cab92dee01","0.8996","high_confidence","customer service representative","http://data.europa.eu/esco/occupation/13d1b2b4-99dd-44da-9734-c9f74bae18f7","0.8801","high_confidence","sales assistant","http://data.europa.eu/esco/occupation/9ba74e8a-c40c-4228-9998-eb3c7a5c11df","0.8777","high_confidence"
"Small vehicle DRIVER","የአነስተኛ መኪና ሾፌር","I","Logistics, transportation and communication","Other scheduled land transport services","minilm","5","0.8449","low_similarity","cargo vehicle driver","http://data.europa.eu/esco/occupation/45037d43-a8f5-4f46-b332-b2935bc305f4","0.8449","low_similarity","automotive test driver","http://data.europa.eu/esco/occupation/295dbed9-0330-42af-8650-f9296c6eb195","0.8141","low_similarity","moving truck driver","http://data.europa.eu/esco/occupation/a504e79e-f146-4773-a1cf-2b15b9d614db","0.8110","low_similarity","driving instructor","http://data.europa.eu/esco/occupation/bca2528a-5a87-4576-a3b5-1edbbce40a9f","0.8098","low_similarity","car driving instructor","http://data.europa.eu/esco/occupation/834aab9b-2246-4c3e-ab4a-cf3de1267e1a","0.8014","low_similarity"
"Mathematics teacher","የሂሳብ መምህር","P","Education","other","minilm","5","0.9592","exact","mathematics teacher at secondary school","http://data.europa.eu/esco/occupation/f0e1cc13-48e0-4995-8699-ee43467bce0d","0.9592","exact","mathematics lecturer","http://data.europa.eu/esco/occupation/dab9c6dd-8efb-4fe2-8b10-477ef2bcfd8b","0.9120","high_confidence","mathematician","http://data.europa.eu/esco/occupation/72628f3a-fd49-499a-9741-870b0a1fcef2","0.8655","high_confidence","early years teacher","http://data.europa.eu/esco/occupation/55d60ead-0343-4008-b9e4-fb4b5a179c83","0.8528","high_confidence","secondary school teacher","http://data.europa.eu/esco/occupation/5efb2c08-ba3a-4659-a2e4-1883f54e77b6","0.8454","low_similarity"
"Promoter","አስተዋዋቂ","I","Service","Business Promotion Service","minilm","5","1.0000","exact","promoter","http://data.europa.eu/esco/occupation/21ae429f-a152-46a6-a73c-9ec65c7803f0","1.0000","exact","regulatory affairs manager","http://data.europa.eu/esco/occupation/779d13be-60b4-48f3-a339-fe483be96c7f","0.7886","low_similarity","chief marketing officer","http://data.europa.eu/esco/occupation/0ddbf393-38f1-4c22-b14c-fe775008f321","0.7713","low_similarity","commercial director","http://data.europa.eu/esco/occupation/2d3d7188-47ab-49b9-9045-e452d9db06f1","0.7680","low_similarity","spokesperson","http://data.europa.eu/esco/occupation/b89ba3a8-f03a-46b8-ac54-c87d7204aad0","0.7670","low_similarity"
"Ticket Distribution Agent","የቲኬት ማከፋፈያ ወኪል","I","Tourism and art","Travel Agent and Related Services","minilm","5","0.9411","high_confidence","ticket sales agent","http://data.europa.eu/esco/occupation/bdf2dd9d-6c92-46f4-a8e7-76c12302d3e7","0.9411","high_confidence","shipping agent","http://data.europa.eu/esco/occupation/8bc845cb-0702-47e4-aabc-4036032b0a8d","0.8358","low_similarity","ticket issuing clerk","http://data.europa.eu/esco/occupation/612430b3-dd43-4786-b823-0466c4953f66","0.8174","low_similarity","distribution manager","http://data.europa.eu/esco/occupation/632e61c8-4e4b-44c7-b213-6dd5a174b143","0.8106","low_similarity","logistics and distribution manager","http://data.europa.eu/esco/occupation/823db06f-25e1-4658-b063-d6ef956b41f5","0.7899","low_similarity"
