nos_title,nos_sector,nos_code,zqf_level,decision,llm_confidence,esco_code,esco_label,similarity,chosen_rank,embedding_top_label,embedding_top_sim,reason,nos_description
Agricultural Engineer,Agriculture,NOS. AE.01,7,MATCH,high,2144.1.2,agricultural engineer,90.9,1,agricultural engineer,90.9,,"Agricultural engineers solve problems concerning power supplies, machine efficiency, the use of structures and facilities, pollution and environmental issues, and the storage and processing of agricultural products"
Agricultural Plant Inspector,Agriculture,NOS. API.01,6,MATCH,high,3359.1,agricultural inspector,90.8,1,agricultural inspector,90.8,,"The Agricultural Plant Inspector, inspects agricultural produce, equipment, and facilities to ensure compliance with laws and regulations governing health, quality and safety"
Agricultural Research Technologist,Agriculture,NOS.ART.01,6,MATCH,high,3142.1,agricultural technician,88.7,1,agricultural technician,88.7,,"An Agricultural Research Technologist is responsible for enforcing health and safety regulations in the field and laboratory, monitoring the preparation of fields, establishing research trials, collection of data, collection of field samples, monitoring harvesting, analysing data, setting up and maintaining laboratory, preparation of laboratory samples and analysis, operating laboratory and field equipment"
Agricultural Marketing Officer (AMO),Agriculture,NOS. AMO.01,7,NEW_LOCAL,N/A,,,,,agricultural policy officer,85.9,"NOS covers marketing, trade promotion, and agricultural finance - broader than ESCO agricultural policy officer which only covers policy analysis.","The AMO works to manage and supervise the marketing information, the agricultural trade promotion and agricultural finance support, marketing infrastructure and requirements and oversees the marketing research activities"
Agronomist,Agriculture,NOS. A.01,7,MATCH,high,2132.2,agronomist,89.5,1,agronomist,89.5,,"An Agronomist should work towards increased crop production and productivity to ensure food security, nutrition and household incomes. The job holder is required to do the following; Planning for the subsequent cropping season to ensure timeliness. Conducting research that responds to agronomic challenges. Implementing all crop/plant husbandry practices ranging from land preparation to harvesting. Designing, initiating, training and disseminating strategies in improving crop production and management. Providing support and knowledge of agricultural products to clients to create demand"
Animal Science Laboratory Technologist (ASLT),Agriculture,NOS.ASLT.01,6,MATCH,high,3141.2,scientific laboratory technician,86.3,2,zoology technician,86.6,,"The ASLT is responsible for receiving samples at the laboratory, preparing them for analysis, preparing the work area, managing biosecurity and conducting laboratory tests and examinations. They also oversee and take care of laboratory animals, maintain biosecurity at the laboratory and in the animal cages. In addition, they are responsible for sterilization and maintenance of laboratory equipment, and demonstration of techniques to students"
Dairy Farm Supervisor,Agriculture,NOS.DFS.01,4,MATCH,high,6130.1,farm manager,87.0,4,farm milk controller,89.8,,"The Dairy Farm Supervisor is the main person responsible for overseeing the day-to-day hygienic milking of animals in a Dairy. Their tasks include caring for the animals, carrying out the milking process, and handling the milk until collection or cooling"
Dairy Scientist,Agriculture,NOS. DS.01,9,MATCH,high,2132.1,agricultural scientist,86.5,2,dairy processing technician,87.1,,"Oversees field research on nutrition, dairy production, genetics and reproduction of dairy animals and transfer of the new technology, knowledge and information to dairy stakeholders"
Fisheries Extension Provider,Agriculture,NOS.FEP.01,6,MATCH,high,2132.4,fisheries adviser,88.6,1,fisheries adviser,88.6,,"This job role is responsible for the provision of fisheries extension services to the fisher folks and aquaculture extension services to fish farmers ranging from site selection to harvest. The Fisheries Extension Provider is also responsible for timely enforcement of regulations in order to conserve fish resources, licensing of fisher folks and registration of fishers, in order to attain the objectives of the section"
Fisheries Officer,Agriculture,NOS.FO.01,7,NEW_LOCAL,N/A,,,,,fisheries adviser,88.1,"Different function. NOS manages, conserves, and enforces fisheries regulations (government role). ESCO fisheries adviser provides consultancy - different work.","The Fisheries Officer is responsible for management, conservation and protection of fisheries resources. They supervise the enforcement of fisheries regulations, transfer of fishing technologies to fisherfolk communities and participate in habitat improvement programmes"
Agricultural Economist,Agriculture,NOS.AE.01,7,MATCH,high,2631.2,economist,86.5,1,economist,86.5,,"Studying and analysing the aspects that influence the agricultural economy and distribution of resources, such as land, raw materials, labour and capital"
Agricultural Extension Officer,Agriculture,NOS.AEO.01,4,NEW_LOCAL,N/A,,,,,agronomist,87.6,Agricultural extension/advisory role focused on technology transfer and demonstrations. ESCO agronomist is research/consulting focused.,"An agriculture extension officer gives talks, guidance and actual demonstrations on latest technologies related to agriculture. He/she also works with other experts in agriculture to learn more or develop new methods that advance production and productivity"
Animal Breeder – Geneticist,Agriculture,NOS. AB.01,9,NEW_LOCAL,N/A,,,,,cattle breeder,85.8,"The NOS role focuses specifically on the genetic aspects of animal breeding, including selection and mating systems to improve genetic traits. The ESCO options are more general and don't focus on the genetic expertise.","An Animal Breeder-Geneticist works with research management and technical production teams to evaluate, select and mate animal populations in order to maximize desirable genetic traits and consequently improve/optimize production and productivity"
Animal Nutritionist,Agriculture,NOS. AN.01,9,MATCH,high,2131.2,animal feed nutritionist,92.0,1,animal feed nutritionist,92.0,,"Responsible for creating rations and balancing nutrition, to make sure that different animals’ dietary needs are met"
Aquacultural Economist,Agriculture,NOS.AE.01,7,NEW_LOCAL,N/A,,,,,aquaculture environmental analyst,88.8,"None of the ESCO occupations focus on the economic aspects of aquaculture, which is the primary function of the NOS occupation. The NOS role requires economics expertise applied to aquaculture, not just general aquaculture knowledge.","An Aquacultural Economist is responsible for the development & implementation of programmes for the aquaculture industry. Further, the job holder is expected to do Economic analysis & modelling of aquaculture and Capacity development in support for aquaculture industry"
Livestock Artificial Inseminator,Agriculture,NOS.LAI.01,6,MATCH,high,3240.2.1,animal artificial insemination technician,90.0,1,animal artificial insemination technician,90.0,,"The role of the Livestock Artificial Inseminator is to plan and implement an artificial insemination program, including synchronization of heat. The role also includes a working knowledge of how to store, transport, thaw and prepare semen for insemination, and to offer reproductive consultation to breeders and farmers of livestock"
Pond Worker,Agriculture,NOS.PW.,3,MATCH,high,6221.7,aquaculture husbandry worker,89.2,1,aquaculture husbandry worker,89.2,,"The job of a pond worker involves preparing ponds for stocking, feeding the organisms under culture systems, checking growth, protection of organisms against predators, ensuring that the water quality is within the recommended range and eventually responsible for harvesting of the organism"
