nos_title,nos_sector,nos_code,zqf_level,nos_description,top_match_esco_code,top_match_esco_label,top_match_similarity,top_match_esco_description,candidate_2_label,candidate_2_sim,candidate_3_label,candidate_3_sim,candidate_4_label,candidate_4_sim,candidate_5_label,candidate_5_sim
Agricultural Engineer,Agriculture,NOS. AE.01,7,"Agricultural engineers solve problems concerning power supplies, machine efficiency, the use of structures and facilities, pollution and environmental issues, and the storage and processing of agricultural products",2144.1.2,agricultural engineer,90.9,"Agricultural engineers intervene in a variety of matters within the agriculture field in combination with engineering concepts. They design and develop machinery and equipment for an efficient and sustainable exploitation of the land. They advise on the use of resources in agricultural sites comprising the usage of water and soil, harvesting methods, and waste management.",agricultural equipment design engineer,90.2,agricultural scientist,87.3,food production engineer,86.4,,
Agricultural Plant Inspector,Agriculture,NOS. API.01,6,"The Agricultural Plant Inspector, inspects agricultural produce, equipment, and facilities to ensure compliance with laws and regulations governing health, quality and safety",3359.1,agricultural inspector,90.8,"Agricultural inspectors monitor agricultural operations in farms and other agricultural facilities. They inspect activities such as health and safety measures, costs and production processes to ensure that workers and their activities comply with proper legislation and standards. Agricultural inspectors also analyse and report on their findings.",product quality inspector,88.2,food safety inspector,87.7,health and safety inspector,87.3,,
Agricultural Research Technologist,Agriculture,NOS.ART.01,6,"An Agricultural Research Technologist is responsible for enforcing health and safety regulations in the field and laboratory, monitoring the preparation of fields, establishing research trials, collection of data, collection of field samples, monitoring harvesting, analysing data, setting up and maintaining laboratory, preparation of laboratory samples and analysis, operating laboratory and field equipment",3142.1,agricultural technician,88.7,Agricultural technicians collect and conduct experiments and tests on agriculture and aquaculture specimens. They provide support to scientists and farmers and also analyse and report on conditions in the collected specimens' environments.,agricultural scientist,88.3,agronomist,86.9,agricultural engineer,86.9,,
Agricultural Marketing Officer (AMO),Agriculture,NOS. AMO.01,7,"The AMO works to manage and supervise the marketing information, the agricultural trade promotion and agricultural finance support, marketing infrastructure and requirements and oversees the marketing research activities",2422.18,trade development officer,85.9,"Trade development officers develop and implement trade policies both internally and in international import and export relations. They analyse the domestic and foreign markets in order to promote and establish business operations, and ensure trade proceedings are compliant with legislation and businesses are protected from distortions.",agricultural policy officer,85.9,import export manager in agricultural machinery and equipment,85.5,"import export manager in agricultural raw materials, seeds and animal feeds",85.4,,
Agronomist,Agriculture,NOS. A.01,7,"An Agronomist should work towards increased crop production and productivity to ensure food security, nutrition and household incomes. The job holder is required to do the following; Planning for the subsequent cropping season to ensure timeliness. Conducting research that responds to agronomic challenges. Implementing all crop/plant husbandry practices ranging from land preparation to harvesting. Designing, initiating, training and disseminating strategies in improving crop production and management. Providing support and knowledge of agricultural products to clients to create demand",2132.2,agronomist,89.5,"Agronomists provide consulting services to companies, agricultural cooperatives, agronomical crop growers and horticultural crop growers on the cultivation of food crops. They study the science, technology and business related to growing plants. They examine crops and perform experiments in order to improve crop yields and farms' production. Agronomists also examine the most effective ways to harvest and cultivate plants.",crop production manager,88.1,agronomic crop production team leader,87.5,crop production worker,87.3,,
Animal Science Laboratory Technologist (ASLT),Agriculture,NOS.ASLT.01,6,"The ASLT is responsible for receiving samples at the laboratory, preparing them for analysis, preparing the work area, managing biosecurity and conducting laboratory tests and examinations. They also oversee and take care of laboratory animals, maintain biosecurity at the laboratory and in the animal cages. In addition, they are responsible for sterilization and maintenance of laboratory equipment, and demonstration of techniques to students",3141.2.5,zoology technician,86.6,"Zoology technicians provide technical assistance in researching and testing animal species using laboratory equipment. They aid in research concerning animals as well as their environments and ecosystems. They collect and analyse data, compile reports and maintain laboratory stock.",scientific laboratory technician,86.3,medical laboratory assistant,85.8,animal facility manager,85.6,,
Dairy Farm Supervisor,Agriculture,NOS.DFS.01,4,"The Dairy Farm Supervisor is the main person responsible for overseeing the day-to-day hygienic milking of animals in a Dairy. Their tasks include caring for the animals, carrying out the milking process, and handling the milk until collection or cooling",7515.2,farm milk controller,89.8,Farm milk controllers are responsible for measuring and analysing the production and quality of the milk and providing advise accordingly.,animal feed supervisor,88.2,dairy processing operator,87.2,farm manager,87.0,,
Dairy Scientist,Agriculture,NOS. DS.01,9,"Oversees field research on nutrition, dairy production, genetics and reproduction of dairy animals and transfer of the new technology, knowledge and information to dairy stakeholders",3122.1,dairy processing technician,87.1,"Dairy processing technicians supervise and coordinate production processes, operations, and maintenance workers in milk, cheese, ice cream and/or other dairy production plants. They assist food technologists in improving processes, developing new food products and establishing procedures and standards for production and packaging.",agricultural scientist,86.5,veterinary scientist,85.6,animal feed nutritionist,85.3,,
Fisheries Extension Provider,Agriculture,NOS.FEP.01,6,"This job role is responsible for the provision of fisheries extension services to the fisher folks and aquaculture extension services to fish farmers ranging from site selection to harvest. The Fisheries Extension Provider is also responsible for timely enforcement of regulations in order to conserve fish resources, licensing of fisher folks and registration of fishers, in order to attain the objectives of the section",2132.4,fisheries adviser,88.6,Fisheries advisers provide consultancy on fish stocks and their habitats. They manage the costal fishing business modernisation and provide improvement solutions. Fisheries advisers develop plans and policies for fisheries management. They may provide advice on protected farms and wild fish stock.,fisheries observer,86.9,fisheries assistant engineer,86.9,aquaculture harvesting manager,86.2,,
Fisheries Officer,Agriculture,NOS.FO.01,7,"The Fisheries Officer is responsible for management, conservation and protection of fisheries resources. They supervise the enforcement of fisheries regulations, transfer of fishing technologies to fisherfolk communities and participate in habitat improvement programmes",2132.4,fisheries adviser,88.1,Fisheries advisers provide consultancy on fish stocks and their habitats. They manage the costal fishing business modernisation and provide improvement solutions. Fisheries advisers develop plans and policies for fisheries management. They may provide advice on protected farms and wild fish stock.,fisheries master,87.7,fisheries observer,87.7,nature conservation officer,87.7,,
Agricultural Economist,Agriculture,NOS.AE.01,7,"Studying and analysing the aspects that influence the agricultural economy and distribution of resources, such as land, raw materials, labour and capital",2631.2,economist,86.5,"Economists perform research and develop theories in the field of economics, whether for microeconomic or macroeconomic analysis. They study trends, analyse statistical data, and to some extent work with economic mathematical models in order to advise companies, governments, and related institutions. They advise on product feasibility, trend forecasts, emerging markets, tax policies, and consumer trends.",agricultural scientist,86.2,business economics researcher,86.0,agronomist,85.6,,
Agricultural Extension Officer,Agriculture,NOS.AEO.01,4,"An agriculture extension officer gives talks, guidance and actual demonstrations on latest technologies related to agriculture. He/she also works with other experts in agriculture to learn more or develop new methods that advance production and productivity",3142.1,agricultural technician,88.3,Agricultural technicians collect and conduct experiments and tests on agriculture and aquaculture specimens. They provide support to scientists and farmers and also analyse and report on conditions in the collected specimens' environments.,agricultural scientist,87.8,agronomist,87.6,agricultural engineer,87.2,,
Animal Breeder – Geneticist,Agriculture,NOS. AB.01,9,"An Animal Breeder-Geneticist works with research management and technical production teams to evaluate, select and mate animal populations in order to maximize desirable genetic traits and consequently improve/optimize production and productivity",6121.1,cattle breeder,85.8,Cattle breeders oversee the production and day-to-day care of cattle. They maintain the health and welfare of cattle.,dog breeder,85.7,animal facility manager,85.3,poultry breeder,84.8,,
Animal Nutritionist,Agriculture,NOS. AN.01,9,"Responsible for creating rations and balancing nutrition, to make sure that different animals’ dietary needs are met",2131.2,animal feed nutritionist,92.0,"Animal feed nutritionists analyse the nutritional value of animal feeds in order to provide dietary advice to agricultural, manufacturing, zoological and public sector staff. They undertake research on nutritionally balanced food stuffs and maintain awareness of technical and scientific developments on the subject.",animal feed supervisor,87.0,livestock advisor,86.4,veterinary scientist,86.2,,
Aquacultural Economist,Agriculture,NOS.AE.01,7,"An Aquacultural Economist is responsible for the development & implementation of programmes for the aquaculture industry. Further, the job holder is expected to do Economic analysis & modelling of aquaculture and Capacity development in support for aquaculture industry",2133.2,aquaculture environmental analyst,88.8,"Aquaculture environmental analysts assess, plan and implement programmes to recognise, monitor and control environmental factors that can potentially affect the health of aquatic animals and plants.",aquaculture biologist,87.0,aquaculture production manager,86.9,fisheries adviser,86.8,,
Livestock Artificial Inseminator,Agriculture,NOS.LAI.01,6,"The role of the Livestock Artificial Inseminator is to plan and implement an artificial insemination program, including synchronization of heat. The role also includes a working knowledge of how to store, transport, thaw and prepare semen for insemination, and to offer reproductive consultation to breeders and farmers of livestock",3240.2.1,animal artificial insemination technician,90.0,"Animal artificial insemination technicians are in charge of the impregnation of an animal using collected semen, in accordance with national legislation.",livestock advisor,87.1,animal embryo transfer technician,86.0,livestock worker,85.2,,
Pond Worker,Agriculture,NOS.PW.,3,"The job of a pond worker involves preparing ponds for stocking, feeding the organisms under culture systems, checking growth, protection of organisms against predators, ensuring that the water quality is within the recommended range and eventually responsible for harvesting of the organism",6221.7,aquaculture husbandry worker,89.2,Aquaculture husbandry workers are active in the production of aquatic organisms in land-based on-growing processes. They assist in the process of raising organisms through all stages of their life cycle.,aquaculture husbandry technician,88.2,water-based aquaculture technician,88.1,water-based aquaculture worker,87.8,,
Scuba Diver,Agriculture,NOS. SD.01,4,"The role of a SCUBA Diver is to perform commercial diving activities and underwater operations in inshore waters. The spectrum of SCUBA diving includes industrial tasks (Inspecting nets and enclosures, locate or recover submerged automobiles, boats, logs, articles, search for bodies and administer first aid and CPR in case of emergencies) performed from just below the water to 30m depth",7541.3,rescue diver,87.3,"Rescue divers are divers that manage underwater emergencies. They prevent and manage problems underwater, handle dive emergencies and operate rescue equipment. Rescue divers manage diving operations in seas or waterways. They work under demanding physical conditions to rescue and retrieve people or objects.",construction commercial diver,87.0,underwater construction supervisor,84.7,deep-sea fishery worker,84.6,,
Livestock Slaughter Supervisor,Agriculture,NOS. LSS.01,3,"Ensure that animals and carcasses are managed safely and hygienically before, and throughout the slaughter process",3122.4.1,animal feed supervisor,84.4,"Animal feed supervisors supervise the manufacturing process of animal feeds. They control quality, take samples for labs, follow up on lab results and take measures according to the results.",halal slaughterer,83.9,livestock advisor,83.8,meat and meat products distribution manager,83.8,,
Aquaculture Farmer,Agriculture,NOS. AF.01,4,An Aquaculture Farmer is responsible for growing aquatic organisms in culture system and managing the stock from fish seed to marketable size,1312.2,aquaculture husbandry manager,92.2,"Aquaculture husbandry managers specialise in the husbandry of ongrowing aquatic species, especially in the feeding, growth, and stock management processes.",aquaculture production manager,91.6,aquaculture harvesting manager,91.4,aquaculture husbandry worker,90.9,,
Aquaculture Technician,Agriculture,NOS.AT.01,6,An Aquaculture Technician is responsible for maintaining all aspects of the fish farm and farm organisms which are used as food and also exported,6221.6,aquaculture husbandry technician,92.1,"Aquaculture husbandry technicians operate in aquatic organisms' production, specialising in the husbandry of ongrowing culture processes, especially in feeding and stock management.",aquaculture rearing technician,91.6,aquaculture hatchery technician,90.8,water-based aquaculture technician,90.7,,
Fish Seed Grower,Agriculture,NOS.FSG.01,5,Fish Seed Grower is responsible for the seed production of aquatic organisms cultured in water aquaculture habitat,6221.9,aquaculture rearing technician,90.2,"Aquaculture rearing technicians operate in aquatic organisms' production. They are specialists in the rearing, weaning and production of juveniles.",water-based aquaculture technician,90.0,aquaculture hatchery worker,89.7,aquaculture hatchery technician,89.6,,
Fisheries Extension Assistant,Agriculture,NOS.FEA.01,5,"A Fisheries Extension Assistant is responsible for making field visits, mobilising members of the fishing community for extension training, gathering of information and other activities at community level",7233.3,fisheries assistant engineer,87.8,"Fisheries assistant engineers assist the marine chief engineer with checking operations and maintenance of the propulsion plant, machinery and auxiliary equipment of the ship. They collaborate on security, survival and health care on board, observing the national and international standards of application.",fisheries observer,87.3,fisheries adviser,87.0,community health worker,85.6,,
Senior Agriculture Officer,Agriculture,NOS.SAO.01,7,"The SAO works with the Research and Development team to market and transfer the technology, products, knowledge and information to the farmers, acting as a bridge between the Ministry of Agriculture and farmers increasing their productivity and profitability",2422.12.1,agricultural policy officer,86.5,Agricultural policy officers analyse and identify agricultural policy issues and develop plans for improvement and new policy implementation. They write reports and presentations in order to communicate and acquire support for the policies from government officials and the public. They also communicate with professionals in agriculture for research and information purposes and perform administrative duties.,agricultural scientist,85.6,agricultural technician,85.6,agronomic crop production team leader,85.4,,
