"elmis_title","amharic","sector","sub_sector","professional_formal","subsector_isco4","candidate_pool_size","n_from_nel","n_from_isco_group","stage1_best_score","original_decision","retry_decision","retry_selected_index","retry_selected_label","retry_selected_uri","retry_selected_isco4","retry_pick_source","retry_confidence","retry_rationale","llm_provider","llm_model","raw_response"
"Junior and Senior Researchers/ Consultants","ጁኒየር እና ከፍተኛ ተመራማሪዎች/ አማካሪዎች","Service","Consulting service around social science","P","2632","15","5","10","0.76","no_match","match","14","social work researcher","http://data.europa.eu/esco/occupation/3af4d6be-90b5-41f6-be06-3330dab3df73","2632","isco_group","medium","The candidate 'social work researcher' best captures the applied nature of the ELMIS title, focusing on investigating social issues and providing reports and recommendations within the social science sub-sector.","gemini","gemini-3-flash-preview","{""decision"": ""match"", ""selected_index"": 14, ""confidence"": ""medium"", ""rationale"": ""The candidate 'social work researcher' best captures the applied nature of the ELMIS title, focusing on investigating social issues and providing reports and recommendations within the social science sub-sector.""}"
"Junior Cooperative Advisor","ጁኒየር የትብብር አማካሪ","Service","Consulting service around social science","P","2632","15","5","10","0.8062","no_match","no_match","","","","","","high","None of the candidate occupations describe the role of a Cooperative Advisor, which involves the development, management, and regulation of cooperative societies; the provided options are either researchers in social sciences or advisors in unrelated fields like academia, finance, or tax.","gemini","gemini-3-flash-preview","{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""None of the candidate occupations describe the role of a Cooperative Advisor, which involves the development, management, and regulation of cooperative societies; the provided options are either researchers in social sciences or advisors in unrelated fields like academia, finance, or tax.""}"
"Junior Core Banking Systems Pre Sales Engineer","ጁኒየር ኮር ባንኪንግ ሲስተምስ የቅድመ ሽያጭ መሐንዲስ","ICT and digital work","Software Design Development and Implementation Works","P","2512","11","5","6","0.7734","no_match","no_match","","","","","","high","None of the candidates represent the specific 'pre-sales' or technical sales function within the ICT sector; the options are either purely financial managers or software developers.","gemini","gemini-3-flash-preview","{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""None of the candidates represent the specific 'pre-sales' or technical sales function within the ICT sector; the options are either purely financial managers or software developers.""}"
"Junior Data Encoder","ጁኒየር ዳታ ኢንኮደር","ICT and digital work","Database organization and data processing","P","2521","10","5","5","0.7216","no_match","no_match","","","","","","high","The provided candidates are for high-level technical roles like design, development, and administration (ISCO 2521), whereas a Data Encoder is an entry-level data entry or processing role (typically ISCO 4132) not represented here.","gemini","gemini-3-flash-preview","{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""The provided candidates are for high-level technical roles like design, development, and administration (ISCO 2521), whereas a Data Encoder is an entry-level data entry or processing role (typically ISCO 4132) not represented here.""}"
"Junior Field sales officer","ጁኒየር መስክ የሽያጭ መኮንን","Business","Food Products Retail","P","5223","48","5","43","0.8345","no_match","no_match","","","","","","high","The ELMIS title describes a professional field-based sales role, but the available candidates are either location-bound shop assistants, high-level managers, or technical sales engineers for heavy equipment.","gemini","gemini-3-flash-preview","{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""The ELMIS title describes a professional field-based sales role, but the available candidates are either location-bound shop assistants, high-level managers, or technical sales engineers for heavy equipment.""}"
"Junior Information Technologist","የጁኒየር መረጃ ቴክኖሎጂ ባለሙያ","ICT and digital work","Software Design Development and Implementation Works","P","2512","11","5","6","0.8284","no_match","match","9","software developer","http://data.europa.eu/esco/occupation/f2b15a0e-e65a-438a-affb-29b9d50b77d1","2512","isco_group","medium","Given the sub-sector of software development and implementation, 'software developer' is the most appropriate professional match for a junior technologist in this field.","gemini","gemini-3-flash-preview","{""decision"": ""match"", ""selected_index"": 9, ""confidence"": ""medium"", ""rationale"": ""Given the sub-sector of software development and implementation, 'software developer' is the most appropriate professional match for a junior technologist in this field.""}"
"Junior IP Local Engineer","ጁኒየር IP የአካባቢ መሐንዲስ","ICT and digital work","Software Design Development and Implementation Works","P","2512","11","5","6","0.8013","no_match","no_match","","","","","","high","The ELMIS title 'IP Local Engineer' refers to network engineering, but the candidates are either industrial/electrical engineers or software developers, with no networking roles provided.","gemini","gemini-3-flash-preview","{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""The ELMIS title 'IP Local Engineer' refers to network engineering, but the candidates are either industrial/electrical engineers or software developers, with no networking roles provided.""}"
"Junior IT","ጁኒየር አይቲ","ICT and digital work","Software Design Development and Implementation Works","P","2512","11","5","6","0.727","no_match","match","9","software developer","http://data.europa.eu/esco/occupation/f2b15a0e-e65a-438a-affb-29b9d50b77d1","2512","isco_group","high","In the context of the 'Software Design Development and Implementation' sub-sector, a Junior IT professional is most accurately represented by the general software developer role.","gemini","gemini-3-flash-preview","{""decision"": ""match"", ""selected_index"": 9, ""confidence"": ""high"", ""rationale"": ""In the context of the 'Software Design Development and Implementation' sub-sector, a Junior IT professional is most accurately represented by the general software developer role.""}"
"Junior People Operation Liaison","የጁኒየር ሰዎች ኦፕሬሽን ግንኙነት","Service","Employment agencies and recruitment agencies","P","3333","6","5","1","0.7927","no_match","match","6","employment agent","http://data.europa.eu/esco/occupation/42a96d07-1e1d-49ae-9399-c1f4be27ddea","3333","isco_group","medium","The ELMIS title describes an entry-level HR/recruitment role within an employment agency, which corresponds directly to the functional duties and sub-sector of an employment agent.","gemini","gemini-3-flash-preview","{""decision"": ""match"", ""selected_index"": 6, ""confidence"": ""medium"", ""rationale"": ""The ELMIS title describes an entry-level HR/recruitment role within an employment agency, which corresponds directly to the functional duties and sub-sector of an employment agent.""}"
"JUNIOR TEAM COORDINATOR","ጀማሪ ቡድን አስተባባሪ","Service","Special event coordination","P","3332","10","5","5","0.8247","no_match","match","6","event assistant","http://data.europa.eu/esco/occupation/84931290-ad27-45ad-b611-9556c5facbdb","3332","isco_group","high","The candidate 'event assistant' aligns with the sub-sector of special event coordination and matches the junior seniority level implied by the ELMIS title.","gemini","gemini-3-flash-preview","{""decision"": ""match"", ""selected_index"": 6, ""confidence"": ""high"", ""rationale"": ""The candidate 'event assistant' aligns with the sub-sector of special event coordination and matches the junior seniority level implied by the ELMIS title.""}"
