elmis_title,amharic,sector,sub_sector,professional_formal,stage1_best_score,stage1_best_label,stage1_best_uri,stage2_decision,stage2_selected_index,stage2_selected_label,stage2_selected_uri,stage2_selected_isco4,stage2_confidence,stage2_rationale,llm_provider,llm_model,raw_response
Market Strategist,ገበያ ስትራቴጂስት,Service,Business Promotion Service,P,0.8343,market research analyst,http://data.europa.eu/esco/occupation/66fb9704-0d56-4673-8e69-7823816b73e1,match,5.0,marketing consultant,http://data.europa.eu/esco/occupation/4791e217-d607-40d5-9f84-df1d0a071cbc,2431,high,"Candidate 5 (marketing consultant) explicitly describes the role of developing marketing strategies and positioning, which is the core function of a market strategist.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 5, ""confidence"": ""high"", ""rationale"": ""Candidate 5 (marketing consultant) explicitly describes the role of developing marketing strategies and positioning, which is the core function of a market strategist.""}"
Junior Risk Officer,ጁኒየር አደጋ መኮንን,Service,Other services,P,0.8384,health and safety officer,http://data.europa.eu/esco/occupation/789517fb-95ee-43d1-9530-c2860be1a439,match,1.0,health and safety officer,http://data.europa.eu/esco/occupation/789517fb-95ee-43d1-9530-c2860be1a439,2263,medium,"The Amharic title 'አደጋ መኮንን' (Adega Mekonnen) translates to accident or danger officer, which strongly aligns with the duties of a health and safety officer.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""medium"", ""rationale"": ""The Amharic title 'አደጋ መኮንን' (Adega Mekonnen) translates to accident or danger officer, which strongly aligns with the duties of a health and safety officer.""}"
Commerce Expert,የንግድ ባለሙያ,Business,Other unspecified food products retail,P,0.8226,wholesale merchant,http://data.europa.eu/esco/occupation/3ac7fbb4-91b2-4d4d-abc8-7a6c55ed648f,match,1.0,wholesale merchant,http://data.europa.eu/esco/occupation/3ac7fbb4-91b2-4d4d-abc8-7a6c55ed648f,3324,medium,"The ELMIS title 'Commerce Expert' at the professional level aligns best with the wholesale merchant/trade broker role, as it reflects a business professional rather than a basic shop assistant.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""medium"", ""rationale"": ""The ELMIS title 'Commerce Expert' at the professional level aligns best with the wholesale merchant/trade broker role, as it reflects a business professional rather than a basic shop assistant.""}"
Senior District Auditor,ሲኒየር ዲስትሪክት ኦዲተር,Service,Accounting audit and adminstrative works,P,0.8216,financial auditor,http://data.europa.eu/esco/occupation/1ad59946-d13e-441e-9b36-56e1df055e21,match,1.0,financial auditor,http://data.europa.eu/esco/occupation/1ad59946-d13e-441e-9b36-56e1df055e21,2411,high,The Senior District Auditor is a professional-level role (Class P) that directly matches the core duties and ISCO categorization of a financial auditor.,gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""The Senior District Auditor is a professional-level role (Class P) that directly matches the core duties and ISCO categorization of a financial auditor.""}"
Small vehicle DRIVER,የአነስተኛ መኪና ሾፌር,"Logistics, transportation and communication",Other scheduled land transport services,I,0.8449,cargo vehicle driver,http://data.europa.eu/esco/occupation/45037d43-a8f5-4f46-b332-b2935bc305f4,no_match,,,,,high,"None of the candidates represent a general small vehicle or car driver; they focus on heavy trucks, driving instruction, or automotive testing.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""None of the candidates represent a general small vehicle or car driver; they focus on heavy trucks, driving instruction, or automotive testing.""}"
Expert Grant proposal writer,ኤክስፐርት ግራንት ፕሮፖዛል ጸሐፊ,Service,Research and Experimental Development Works on Economics and Development,P,0.7825,grants management officer,http://data.europa.eu/esco/occupation/89330b57-6a30-40e1-b623-50f47a4b0c34,match,3.0,public funding advisor,http://data.europa.eu/esco/occupation/4ed22a87-8478-4731-be11-5942eacb2e16,2412,medium,"The Public funding advisor (ISCO 2412) is the closest professional-level match as it includes helping clients with the grant application process, which aligns with the work of a proposal writer.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 3, ""confidence"": ""medium"", ""rationale"": ""The Public funding advisor (ISCO 2412) is the closest professional-level match as it includes helping clients with the grant application process, which aligns with the work of a proposal writer.""}"
Junior Admin and Finance Associate,ጁኒየር አስተዳዳሪ እና ፋይናንስ ተባባሪ,Service,Finance and Administration Services,P,0.8296,financial markets back office administrator,http://data.europa.eu/esco/occupation/35fbb8cd-c044-49a1-850c-010481c99b4a,no_match,,,,,high,"The candidate occupations are either too senior (manager, department head) or too specialized (loans, financial markets, student support) for a generalist junior administrative and finance role.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""The candidate occupations are either too senior (manager, department head) or too specialized (loans, financial markets, student support) for a generalist junior administrative and finance role.""}"
Junior Advisor Gender & Peace for Response to SGBV,ጀማሪ አማካሪ ጾታ እና ሰላም ለኤስጂቢቪ ምላሽ,Service,Social work services,P,0.7106,humanitarian advisor,http://data.europa.eu/esco/occupation/3fa31588-2e4d-49c3-b839-4b615cc62742,match,1.0,humanitarian advisor,http://data.europa.eu/esco/occupation/3fa31588-2e4d-49c3-b839-4b615cc62742,2422,medium,"The humanitarian advisor role aligns with the ELMIS title's focus on social work services, policy, and crisis response related to gender and violence.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""medium"", ""rationale"": ""The humanitarian advisor role aligns with the ELMIS title's focus on social work services, policy, and crisis response related to gender and violence.""}"
Junior Advisor Sustainable Energy,ጁኒየር አማካሪ ዘላቂ ኃይል,Economic Infrastructure,Energy,P,0.8463,energy consultant,http://data.europa.eu/esco/occupation/de74eb4e-c95e-425a-9b3a-7be805ec0321,match,3.0,renewable energy consultant,http://data.europa.eu/esco/occupation/114e1eff-215e-47df-8e10-45a5b72f8197,2433,high,"The term 'sustainable energy' is synonymous with 'renewable energy', and the role of 'advisor' directly maps to 'consultant' within the energy sector.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 3, ""confidence"": ""high"", ""rationale"": ""The term 'sustainable energy' is synonymous with 'renewable energy', and the role of 'advisor' directly maps to 'consultant' within the energy sector.""}"
Junior Advocacy officer,ጁኒየር አድቮኬሲ ኦፊሰር,Service,Social work services,P,0.8324,activism officer,http://data.europa.eu/esco/occupation/98358049-fbcd-479e-a644-e92bde5af2e0,match,1.0,activism officer,http://data.europa.eu/esco/occupation/98358049-fbcd-479e-a644-e92bde5af2e0,2432,high,"The definition of an activism officer closely matches the role of an advocacy officer in the social work sector, focusing on promoting social or political change.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""The definition of an activism officer closely matches the role of an advocacy officer in the social work sector, focusing on promoting social or political change.""}"
